Kode,Nama,Provinsi
63.01,KAB. TANAH LAUT,KALIMANTAN SELATAN
63.02,KAB. KOTABARU,KALIMANTAN SELATAN
63.03,KAB. BANJAR,KALIMANTAN SELATAN
63.04,KAB. BARITO KUALA,KALIMANTAN SELATAN
63.05,KAB. TAPIN,KALIMANTAN SELATAN
63.06,KAB. HULU SUNGAI SELATAN,KALIMANTAN SELATAN
63.07,KAB. HULU SUNGAI TENGAH,KALIMANTAN SELATAN
63.08,KAB. HULU SUNGAI UTARA,KALIMANTAN SELATAN
63.09,KAB. TABALONG,KALIMANTAN SELATAN
63.10,KAB. TANAH BUMBU,KALIMANTAN SELATAN
63.11,KAB. BALANGAN,KALIMANTAN SELATAN
63.71,KOTA BANJARMASIN,KALIMANTAN SELATAN
63.72,KOTA BANJARBARU,KALIMANTAN SELATAN
64.01,KAB. PASER,KALIMANTAN TIMUR
64.02,KAB. KUTAI KARTANEGARA,KALIMANTAN TIMUR
64.03,KAB. BERAU,KALIMANTAN TIMUR
64.07,KAB. KUTAI BARAT,KALIMANTAN TIMUR
64.08,KAB. KUTAI TIMUR,KALIMANTAN TIMUR
64.09,KAB. PENAJAM PASER UTARA,KALIMANTAN TIMUR
64.11,KAB. MAHAKAM ULU,KALIMANTAN TIMUR
64.71,KOTA BALIKPAPAN,KALIMANTAN TIMUR
64.72,KOTA SAMARINDA,KALIMANTAN TIMUR
64.74,KOTA BONTANG,KALIMANTAN TIMUR
65.01,KAB. BULUNGAN,KALIMANTAN UTARA
65.02,KAB. MALINAU,KALIMANTAN UTARA
65.03,KAB. NUNUKAN,KALIMANTAN UTARA
65.04,KAB. TANA TIDUNG,KALIMANTAN UTARA
65.71,KOTA TARAKAN,KALIMANTAN UTARA
71.01,KAB. BOLAANG MONGONDOW,SULAWESI UTARA
71.02,KAB. MINAHASA,SULAWESI UTARA
71.03,KAB. KEPULAUAN SANGIHE,SULAWESI UTARA
71.04,KAB. KEPULAUAN TALAUD,SULAWESI UTARA
71.05,KAB. MINAHASA SELATAN,SULAWESI UTARA
71.06,KAB. MINAHASA UTARA,SULAWESI UTARA
71.07,KAB. MINAHASA TENGGARA,SULAWESI UTARA
71.08,KAB. BOLAANG MONGONDOW UTARA,SULAWESI UTARA
71.09,KAB. KEP. SIAU TAGULANDANG BIARO,SULAWESI UTARA
71.10,KAB. BOLAANG MONGONDOW TIMUR,SULAWESI UTARA
71.11,KAB. BOLAANG MONGONDOW SELATAN,SULAWESI UTARA
71.71,KOTA MANADO,SULAWESI UTARA
71.72,KOTA BITUNG,SULAWESI UTARA
71.73,KOTA TOMOHON,SULAWESI UTARA
71.74,KOTA KOTAMOBAGU,SULAWESI UTARA
72.01,KAB. BANGGAI,SULAWESI TENGAH
72.02,KAB. POSO,SULAWESI TENGAH
72.03,KAB. DONGGALA,SULAWESI TENGAH
72.04,KAB. TOLI TOLI,SULAWESI TENGAH
72.05,KAB. BUOL,SULAWESI TENGAH
72.06,KAB. MOROWALI,SULAWESI TENGAH
72.07,KAB. BANGGAI KEPULAUAN,SULAWESI TENGAH
72.08,KAB. PARIGI MOUTONG,SULAWESI TENGAH
72.09,KAB. TOJO UNA UNA,SULAWESI TENGAH
72.10,KAB. SIGI,SULAWESI TENGAH
72.11,KAB. BANGGAI LAUT,SULAWESI TENGAH
72.12,KAB. MOROWALI UTARA,SULAWESI TENGAH
72.71,KOTA PALU,SULAWESI TENGAH
73.01,KAB. KEPULAUAN SELAYAR,SULAWESI SELATAN
73.02,KAB. BULUKUMBA,SULAWESI SELATAN
73.03,KAB. BANTAENG,SULAWESI SELATAN
73.04,KAB. JENEPONTO,SULAWESI SELATAN
73.05,KAB. TAKALAR,SULAWESI SELATAN
73.06,KAB. GOWA,SULAWESI SELATAN
73.07,KAB. SINJAI,SULAWESI SELATAN
73.08,KAB. BONE,SULAWESI SELATAN
73.09,KAB. MAROS,SULAWESI SELATAN
73.10,KAB. PANGKAJENE KEPULAUAN,SULAWESI SELATAN
73.11,KAB. BARRU,SULAWESI SELATAN
73.12,KAB. SOPPENG,SULAWESI SELATAN
73.13,KAB. WAJO,SULAWESI SELATAN
73.14,KAB. SIDENRENG RAPPANG,SULAWESI SELATAN
73.15,KAB. PINRANG,SULAWESI SELATAN
73.16,KAB. ENREKANG,SULAWESI SELATAN
73.17,KAB. LUWU,SULAWESI SELATAN
73.18,KAB. TANA TORAJA,SULAWESI SELATAN
73.22,KAB. LUWU UTARA,SULAWESI SELATAN
73.24,KAB. LUWU TIMUR,SULAWESI SELATAN
73.26,KAB. TORAJA UTARA,SULAWESI SELATAN
73.71,KOTA MAKASSAR,SULAWESI SELATAN
73.72,KOTA PARE PARE,SULAWESI SELATAN
73.73,KOTA PALOPO,SULAWESI SELATAN
74.01,KAB. KOLAKA,SULAWESI TENGGARA
74.02,KAB. KONAWE,SULAWESI TENGGARA
74.03,KAB. MUNA,SULAWESI TENGGARA
74.04,KAB. BUTON,SULAWESI TENGGARA
74.05,KAB. KONAWE SELATAN,SULAWESI TENGGARA
74.06,KAB. BOMBANA,SULAWESI TENGGARA
74.07,KAB. WAKATOBI,SULAWESI TENGGARA
74.08,KAB. KOLAKA UTARA,SULAWESI TENGGARA
74.09,KAB. KONAWE UTARA,SULAWESI TENGGARA
74.10,KAB. BUTON UTARA,SULAWESI TENGGARA
74.11,KAB. KOLAKA TIMUR,SULAWESI TENGGARA
74.12,KAB. KONAWE KEPULAUAN,SULAWESI TENGGARA
74.13,KAB. MUNA BARAT,SULAWESI TENGGARA
74.14,KAB. BUTON TENGAH,SULAWESI TENGGARA
74.15,KAB. BUTON SELATAN,SULAWESI TENGGARA
74.71,KOTA KENDARI,SULAWESI TENGGARA
74.72,KOTA BAU BAU,SULAWESI TENGGARA
75.01,KAB. GORONTALO,GORONTALO
75.02,KAB. BOALEMO,GORONTALO
75.03,KAB. BONE BOLANGO,GORONTALO
75.04,KAB. POHUWATO,GORONTALO
75.05,KAB. GORONTALO UTARA,GORONTALO
